['January', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['June', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['July', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['January 1', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['January 2', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['January 3', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['January 15', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['January 26', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['January 28', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['January 31', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['June 6', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['June 7', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['June 11', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['June 14', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['June 17', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['June 25', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['June 26', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['June 27', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['June 28', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['July 20', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['July 25', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['June 10', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['June 12', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['July 10', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['June 24', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['January 30', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['January 29', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['June 18', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['June 13', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['June 19', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['June 20', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['June 21', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['June 5', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['June 23', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['June 29', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['June 30', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['July 1', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['January 25', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['July 2', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['January 11', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['July 3', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['July 4', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['June 3', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['June 2', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['June 1', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['June 22', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
